cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_239	0.000196104	0.0778388	1.04508e-06	0.250193	0.661003	0.010768
Cell_240	2.03641e-15	2.04452e-06	1.08525e-17	0.516581	0.483416	5.54354e-07
Cell_241	6.89621e-32	5.39435e-10	1.43207e-23	0.0329331	0.967067	1.46263e-10
Cell_242	8.84539e-26	1.39294e-14	4.71392e-28	0.0388395	0.961161	7.55343e-14
Cell_243	7.36765e-38	2.80106e-10	4.50482e-30	0.991706	0.00829358	1.23903e-09
Cell_244	5.27905e-18	2.59947e-08	1.52428e-18	0.135298	0.864702	1.41368e-07
Cell_245	1.15245e-17	0.00133175	3.55332e-14	0.0115866	0.981966	0.00511572
Cell_246	1.26244e-40	2.75199e-13	6.86953e-35	0.0120869	0.987913	4.91221e-13
Cell_247	5.93142e-12	1.85249e-05	2.42176e-14	0.00929135	0.990608	8.19435e-05
Cell_248	2.54784e-21	3.61293e-09	1.00098e-08	0.996675	0.00332479	6.44896e-09
Cell_249	1.83646e-34	7.47642e-13	5.91546e-26	0.499141	0.500859	2.45374e-12
Cell_250	0.999273	4.2713e-05	0.000282437	0.000196268	2.32717e-05	0.000181928
Cell_251	9.15021e-21	7.27999e-10	4.0013e-21	0.0344332	0.965567	1.01405e-09
Cell_252	1.24852e-16	1.69913e-07	6.65364e-19	0.141709	0.85829	3.03289e-07
Cell_253	7.40109e-10	0.00324207	3.94422e-12	0.100119	0.889551	0.007088
Cell_254	6.72572e-26	1.28982e-10	6.47264e-19	0.136539	0.863461	6.03765e-10
Cell_255	1.05224e-19	5.43628e-10	5.60762e-22	0.24412	0.75588	1.40158e-09
Cell_256	1.99338e-10	0.289016	1.16713e-07	0.409472	0.0946198	0.206892
Cell_257	1.41709e-24	2.31135e-07	4.14881e-18	0.98647	0.0135287	7.58576e-07
Cell_258	3.59704e-21	2.90338e-10	1.2092e-24	0.0295629	0.970437	1.56407e-09
Cell_259	7.674e-23	2.86697e-11	1.55522e-24	0.992633	0.0073666	1.30814e-10
Cell_260	2.69187e-11	8.68478e-08	1.43456e-13	0.0431741	0.956826	2.2391e-07
Cell_261	0.0515657	0.6104	1.46229e-05	0.201898	0.0516802	0.0844412
Cell_262	7.95893e-36	8.44275e-09	1.67568e-28	0.515584	0.484416	4.03679e-08
Cell_263	2.09754e-23	4.5144e-15	1.11783e-25	0.830116	0.169884	2.45147e-14
Cell_264	1.46974e-22	0.00828456	1.91069e-14	0.0526131	0.924315	0.0147877
