cell	Node 0	Node 1	Node 2	Node 3
Cell_336	2.39145e-22	0.495448	0.0220687	0.482484
Cell_337	1.81414e-08	0.706051	0.00283081	0.291118
Cell_338	7.90366e-17	0.905152	0.0260343	0.0688141
Cell_339	2.18481e-21	0.457547	0.00182233	0.54063
Cell_340	4.48325e-17	0.659777	0.00421565	0.336008
Cell_341	0.992357	0.00550477	2.29236e-05	0.00211495
Cell_342	3.91772e-21	0.536684	0.0025648	0.460751
Cell_343	6.73093e-21	2.27803e-09	1	1.55779e-10
Cell_344	1.08236e-24	0.143414	0.00057231	0.856014
Cell_345	1.11782e-16	0.510334	0.00207455	0.487592
Cell_346	4.80277e-22	0.5145	0.00365304	0.481847
Cell_347	1.08612e-15	0.451234	0.00903634	0.53973
Cell_348	1.00146e-29	0.86689	0.128616	0.0044938
Cell_349	6.65191e-21	0.488919	0.00395691	0.507124
Cell_350	8.77725e-23	0.899754	0.00528085	0.094965
Cell_351	8.32611e-13	0.578143	0.00467902	0.417178
Cell_352	1.18684e-09	0.831952	0.0166605	0.151388
Cell_353	1.2737e-13	0.169738	0.00108454	0.829177
Cell_354	3.77561e-14	0.558196	0.0111783	0.430626
Cell_355	8.96729e-19	0.554163	0.00393466	0.441902
Cell_356	4.26365e-17	0.505148	0.00358664	0.491266
Cell_357	2.9273e-17	0.764372	0.00396355	0.231664
Cell_358	3.36064e-23	0.561956	0.00834704	0.429697
Cell_359	9.66696e-22	0.308965	0.00121162	0.689824
Cell_360	7.16831e-24	0.0421293	0.000218456	0.957652
Cell_361	7.04068e-13	0.00203431	0.997953	1.31577e-05
Cell_362	1.14789e-12	0.201659	0.00299535	0.795346
Cell_363	7.8172e-16	0.646502	0.00320497	0.350293
Cell_364	6.99938e-17	0.138777	0.00399156	0.857231
Cell_365	2.65433e-13	0.116539	0.000476011	0.882985
Cell_366	5.17676e-20	0.338724	0.00150133	0.659775
Cell_367	4.72772e-18	0.457495	0.00212165	0.540383
Cell_368	1.54792e-15	0.564294	0.00360556	0.4321
Cell_369	2.82203e-09	0.0299498	0.0044435	0.965607
Cell_370	2.52687e-23	0.402742	0.0304861	0.566772
Cell_371	0.99622	0.00360338	1.97489e-05	0.000156383
Cell_372	1.25343e-17	0.191262	0.00851935	0.800219
Cell_373	1.1411e-18	0.792212	0.00309313	0.204695
Cell_374	0.922751	0.0504691	0.000202348	0.0265774
Cell_375	4.8029e-20	0.0652437	0.000259401	0.934497
Cell_376	1.73433e-13	0.53652	0.0796007	0.383879
Cell_377	3.64483e-12	0.469913	0.00447239	0.525614
Cell_378	3.02505e-10	0.842206	0.124954	0.0328402
Cell_379	2.32063e-23	0.576478	0.00224981	0.421272
Cell_380	0.00120989	0.919558	0.0184149	0.0608171
Cell_381	9.15047e-21	0.0763913	0.000299247	0.923309
Cell_382	0.991084	0.00826307	4.84977e-05	0.000603991
Cell_383	1.53153e-27	0.550966	0.00323374	0.4458
Cell_384	1.89495e-22	0.635843	0.0182883	0.345869
Cell_385	9.117e-41	0.627717	0.0026639	0.369619
Cell_386	5.28054e-25	0.461415	0.0684577	0.470128
Cell_387	5.0486e-13	0.522566	0.0395563	0.437878
Cell_388	4.65566e-26	0.350738	0.00140623	0.647855
Cell_389	4.63202e-09	0.865823	0.00401529	0.130161
Cell_390	7.36497e-13	0.245006	0.000967034	0.754027
