cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_994	4.69357e-16	1.31405e-08	6.14784e-08	0.683323	1.22976e-05	1.73641e-17	0.00311413	0.31355
Cell_995	0.999313	0.000130127	1.62277e-05	0.000510171	2.45123e-09	7.09884e-12	2.02666e-05	1.0523e-05
Cell_996	3.03986e-31	6.48615e-10	1.12098e-10	0.40658	0.00135096	5.95979e-16	0.0135321	0.578537
Cell_997	2.50226e-08	0.00101678	0.000372696	0.629557	0.00799632	1.12918e-10	0.0718564	0.289201
Cell_998	0.926511	0.00260478	0.00164491	0.00221522	0.0655074	7.98394e-10	0.000967531	0.00054883
Cell_999	2.09316e-19	0.0274964	0.128643	0.709402	0.000155167	3.10482e-10	0.00926926	0.125034
Cell_1000	1.68479e-19	5.39262e-08	6.70622e-09	0.000376898	0.99904	3.81275e-14	0.000242239	0.000340713
Cell_1001	2.59031e-51	0.000176595	6.47301e-05	0.126835	0.312701	5.46749e-16	0.0362235	0.523999
Cell_1002	1.49545e-47	2.57109e-11	9.4242e-12	0.34169	1.13763e-10	1.65159e-09	0.000730964	0.657579
Cell_1003	2.65554e-21	7.82479e-12	1.22322e-12	0.630693	0.000326494	4.63572e-17	0.0200304	0.34895
Cell_1004	5.16486e-45	0.000293495	5.43201e-05	0.827869	2.38173e-08	6.44648e-14	0.00863595	0.163147
Cell_1005	1.45329e-22	1.1225e-11	1.5204e-12	0.617989	6.13566e-07	1.9947e-23	0.0103368	0.371673
Cell_1006	3.00926e-24	2.48668e-08	3.74744e-09	0.0142896	0.9275	3.99424e-17	0.0110779	0.0471322
Cell_1007	1.79799e-15	1.37604e-05	1.93281e-05	0.903591	4.98489e-05	2.06335e-30	0.00857533	0.0877503
Cell_1008	0.000496583	0.0159245	0.0144434	0.556983	0.177182	2.86728e-09	0.0369058	0.198064
Cell_1009	0.999147	0.000134474	3.43192e-05	3.08607e-05	0.000623135	3.02083e-18	1.23143e-05	1.82151e-05
Cell_1010	1.17983e-27	1.8937e-10	4.83292e-11	0.543557	0.0783029	1.76732e-21	0.0733906	0.30475
Cell_1011	5.64767e-25	1.60391e-13	3.82854e-13	0.618783	0.021283	3.32266e-11	0.0321774	0.327757
Cell_1012	2.58642e-34	0.0675748	0.161302	0.546119	0.00729582	0.00230588	0.0191675	0.196235
Cell_1013	1.45482e-21	8.34125e-07	5.26745e-07	0.02911	0.957096	2.66378e-17	0.0128734	0.000919737
Cell_1014	3.10996e-24	2.8349e-14	3.50569e-15	0.184081	0.390148	5.30474e-20	0.0618839	0.363887
Cell_1015	0.999397	0.000129737	3.89372e-05	0.000374558	1.67666e-06	4.57212e-16	3.90307e-05	1.94582e-05
Cell_1016	1.00122e-13	0.19452	0.0293142	0.181071	0.379007	3.73198e-11	0.060665	0.155423
Cell_1017	5.65212e-14	1.97058e-05	7.22307e-06	0.000115523	0.999269	2.13624e-09	4.94324e-05	0.000539355
Cell_1018	1.31582e-28	1.65072e-14	2.16768e-15	0.624874	1.10158e-08	3.85096e-21	0.000769312	0.374357
Cell_1019	0.998902	0.000129814	2.24355e-05	3.6156e-05	0.00088162	5.14136e-15	2.67688e-05	9.31872e-07
Cell_1020	1.01541e-31	1.33056e-08	4.87709e-09	0.00271147	0.994436	5.01496e-23	0.00112604	0.00172662
Cell_1021	5.46315e-23	1.71508e-05	5.14736e-06	0.0748259	0.90076	2.18577e-14	0.0203342	0.00405748
Cell_1022	1.06601e-21	6.80361e-11	2.04193e-11	0.707675	2.02354e-06	3.46876e-24	0.00757414	0.284748
Cell_1023	3.70849e-29	3.07651e-06	1.44101e-06	0.0926323	0.698571	1.01348e-11	0.1079	0.100892
Cell_1024	1.27067e-43	0.000663935	0.000602184	0.00243856	0.925734	0.041513	0.000249005	0.028799
Cell_1025	4.64685e-34	6.69572e-13	6.07296e-13	0.0025435	0.995124	1.7867e-11	0.000829415	0.0015035
Cell_1026	5.02875e-25	1.85065e-09	2.58662e-10	0.0387803	0.910198	4.38343e-23	0.0115906	0.0394308
Cell_1027	3.2816e-17	8.25656e-07	1.05839e-07	0.925645	0.000116199	6.41137e-31	0.0393203	0.0349171
Cell_1028	2.25622e-20	1.10065e-09	1.44535e-10	0.00016111	0.999538	7.02441e-17	9.26763e-05	0.000208154
Cell_1029	6.38293e-25	7.97209e-09	0.999997	5.57975e-09	2.80902e-09	3.15051e-06	1.20027e-09	5.2935e-09
Cell_1030	1.06984e-12	0.0353669	0.165465	0.570943	5.44204e-05	1.85187e-15	0.015596	0.212574
Cell_1031	3.77487e-35	4.36709e-07	8.79911e-08	0.975023	1.26094e-06	7.24087e-06	0.0068026	0.0181654
Cell_1032	9.22539e-15	0.0129725	0.0016909	0.0290805	0.105307	7.72304e-12	0.0044054	0.846544
Cell_1033	7.46496e-23	3.05869e-10	4.47303e-11	0.041733	0.938309	1.30254e-23	0.0149787	0.00497901
Cell_1034	0.997952	0.000257119	3.37642e-05	0.000316655	3.68815e-05	3.08465e-14	3.79082e-05	0.00136577
Cell_1035	2.95972e-32	2.07585e-15	2.91577e-15	0.686246	0.00706859	4.44272e-26	0.0316318	0.275054
Cell_1036	1.09742e-41	6.61567e-16	8.85333e-17	0.89414	2.06752e-08	3.45347e-48	0.00337463	0.102486
Cell_1037	5.86792e-12	1.11528e-05	2.66217e-05	0.00116601	0.997399	2.92869e-14	0.000648476	0.000748404
Cell_1038	3.22534e-19	9.39888e-10	4.3973e-09	0.851643	4.44029e-05	1.24287e-20	0.0093066	0.139006
Cell_1039	4.62673e-20	4.24212e-07	5.95855e-07	0.0214515	0.96702	1.15896e-28	0.00568473	0.00584259
Cell_1040	0.999782	0.000129643	1.59987e-05	4.88478e-05	3.78857e-06	1.15033e-13	1.71535e-05	2.25928e-06
Cell_1041	1.06747e-17	4.73612e-12	6.50745e-13	0.574326	0.0241503	9.59418e-27	0.0904485	0.311076
Cell_1042	1.92515e-19	1.0113e-08	1.58094e-09	0.551922	0.0213938	3.105e-19	0.124177	0.302508
Cell_1043	1.92767e-24	1.95101e-05	0.999885	4.02918e-05	4.82934e-05	8.14379e-13	4.74879e-06	2.3472e-06
Cell_1044	6.46651e-26	4.82554e-08	6.02461e-09	0.394807	0.348168	2.86809e-22	0.0873647	0.16966
Cell_1045	8.49649e-19	1.20335e-07	4.41082e-08	0.000182401	0.999328	1.39027e-19	0.0001288	0.000360763
Cell_1046	2.67457e-31	4.69797e-16	1.40997e-16	0.431822	0.000302794	8.89765e-27	0.0351213	0.532754
Cell_1047	3.01385e-25	5.41933e-12	6.80637e-13	0.607585	0.000110229	1.65894e-25	0.0482335	0.344072
Cell_1048	3.01458e-26	1.96355e-11	2.41713e-12	0.598532	0.00384463	5.30625e-24	0.19168	0.205943
Cell_1049	1.69031e-11	6.1041e-05	5.53636e-05	0.000400036	0.998089	4.91589e-14	0.000188061	0.00120699
Cell_1050	0.999667	0.000129711	6.07557e-05	0.000119415	1.50832e-06	9.62201e-19	1.65976e-05	4.84642e-06
Cell_1051	0.999748	0.000129684	1.95435e-05	7.24962e-05	2.90639e-06	1.49575e-18	2.37807e-05	3.40894e-06
Cell_1052	4.17049e-21	1.00256e-07	9.09317e-08	0.658353	0.000896205	4.9603e-17	0.02328	0.317471
Cell_1053	3.26502e-23	1.50941e-12	7.06182e-12	0.329003	0.000868073	5.99851e-19	0.0054116	0.664718
Cell_1054	1.0809e-52	5.94296e-15	7.32115e-16	0.406188	1.30575e-05	6.02479e-28	0.0114065	0.582393
Cell_1055	8.98904e-54	2.15979e-31	3.37634e-32	0.668901	1.38417e-06	2.38349e-42	0.00350821	0.32759
Cell_1056	8.94882e-28	1.31201e-08	2.14533e-09	0.779419	5.17254e-07	8.96337e-19	0.00485171	0.215729
Cell_1057	2.7608e-30	4.85107e-11	6.92077e-12	0.00126204	0.996857	6.21811e-21	0.000525651	0.00135554
Cell_1058	6.01081e-24	3.31648e-05	7.42551e-06	0.0322024	0.953401	1.45147e-29	0.012646	0.00170977
Cell_1059	0.999603	0.000129851	1.67251e-05	0.000194847	3.13887e-05	2.37775e-12	2.2782e-05	1.12119e-06
Cell_1060	1.11249e-31	0.0160788	0.00410348	0.00837924	0.954963	7.83419e-09	0.00380816	0.0126673
Cell_1061	4.00556e-28	4.39917e-13	1.12271e-13	0.684934	1.33718e-08	6.93667e-24	0.00433127	0.310734
Cell_1062	4.1694e-10	6.82627e-07	1.02872e-07	0.111439	0.00287063	5.39565e-21	0.00494455	0.880745
Cell_1063	4.67089e-20	8.29579e-11	1.03253e-11	0.0185201	0.934322	1.86248e-18	0.0105975	0.0365605
Cell_1064	1.51889e-19	7.10535e-14	8.83616e-15	0.349672	0.00518193	1.11567e-25	0.0808227	0.564324
Cell_1065	1.6462e-17	7.02574e-07	1.41559e-07	0.760399	1.43003e-08	1.03961e-14	0.002473	0.237127
Cell_1066	1.52678e-18	2.21442e-06	5.28583e-06	0.0688726	0.871598	1.98683e-23	0.0302477	0.0292743
Cell_1067	1.92227e-19	6.11205e-06	2.85955e-05	0.795185	0.0100425	1.69945e-18	0.0607661	0.133971
Cell_1068	1.07726e-17	7.68962e-06	0.999739	0.000234319	2.23777e-15	1.42837e-09	1.62966e-06	1.72414e-05
Cell_1069	0.999599	0.000129672	3.30936e-05	0.000159262	4.96005e-06	9.43201e-16	1.83589e-05	5.56945e-05
Cell_1070	1.22855e-26	6.45943e-11	3.02554e-11	1.5867e-05	0.999727	3.18642e-22	1.13452e-05	0.000246182
Cell_1071	2.78842e-34	4.24471e-10	5.35332e-11	0.477845	0.261337	7.89341e-21	0.0525612	0.208256
