cell	Node 0	Node 1	Node 2
Cell_273	1.94916e-52	0.992451	0.0075486
Cell_274	1.75742e-09	0.99235	0.00764997
Cell_275	2.73548e-31	0.991658	0.00834218
Cell_276	0.998259	0.00172776	1.31436e-05
Cell_277	7.13039e-23	0.992397	0.00760327
Cell_278	5.34081e-37	0.992445	0.00755519
Cell_279	8.15014e-46	0.981231	0.0187689
Cell_280	1.10804e-29	0.992027	0.00797347
Cell_281	9.35521e-57	0.992426	0.00757422
Cell_282	5.96262e-49	0.992451	0.00754852
Cell_283	6.04656e-56	0.992451	0.00754904
Cell_284	7.62047e-43	0.992451	0.00754859
Cell_285	1.21499e-15	0.0254327	0.974567
Cell_286	8.70091e-46	0.939802	0.060198
Cell_287	2.49429e-52	0.992451	0.00754887
Cell_288	3.19921e-25	0.992447	0.00755276
Cell_289	2.07244e-14	0.992423	0.00757748
Cell_290	5.16829e-53	0.455246	0.544754
Cell_291	2.65748e-15	0.992438	0.00756193
Cell_292	4.51342e-38	0.992308	0.00769221
Cell_293	5.95329e-59	1.93991e-29	1
Cell_294	2.95968e-07	0.992433	0.00756638
Cell_295	5.10569e-61	0.992451	0.00754878
Cell_296	1.09539e-17	0.992451	0.00754934
Cell_297	3.07496e-31	0.887543	0.112457
Cell_298	7.67841e-33	0.988073	0.0119268
Cell_299	1.76547e-57	0.992452	0.00754839
Cell_300	1.57762e-48	0.99245	0.00754995
Cell_301	2.64326e-82	1.96044e-16	1
Cell_302	0.998783	0.00120733	9.19859e-06
Cell_303	2.24926e-36	0.992433	0.00756731
Cell_304	4.40655e-13	0.87008	0.12992
Cell_305	3.24469e-35	0.992443	0.00755726
Cell_306	1.67207e-43	0.992358	0.00764182
Cell_307	1.97118e-28	0.991969	0.00803051
Cell_308	5.04818e-34	2.68622e-05	0.999973
Cell_309	3.00115e-43	0.992397	0.00760327
Cell_310	9.74979e-67	0.992451	0.00754897
Cell_311	7.4914e-43	0.992438	0.00756232
Cell_312	1.29427e-15	0.285208	0.714792
Cell_313	6.39294e-23	0.992451	0.00754882
Cell_314	1.236e-69	0.992451	0.00754892
Cell_315	1.0358e-30	0.000354968	0.999645
Cell_316	1.84188e-47	4.5672e-12	1
Cell_317	7.13185e-19	0.00225633	0.997744
Cell_318	5.79763e-30	0.992306	0.00769363
Cell_319	2.38657e-40	3.25448e-09	1
Cell_320	1.83538e-56	0.992449	0.00755136
Cell_321	1.2146e-115	0.992452	0.00754844
Cell_322	1.50915e-49	0.99245	0.00754965
Cell_323	3.90522e-49	0.992451	0.00754928
Cell_324	6.93786e-77	0.992451	0.00754888
Cell_325	1.10247e-17	0.992427	0.00757298
Cell_326	0.998973	0.00101926	7.75472e-06
Cell_327	1.63004e-21	0.992126	0.00787446
Cell_328	1.7797e-119	1.07313e-29	1
Cell_329	5.63596e-20	0.989699	0.0103007
Cell_330	4.82752e-34	5.26275e-11	1
Cell_331	6.49509e-44	2.00447e-16	1
Cell_332	1.39721e-23	0.992437	0.00756326
Cell_333	3.93885e-10	0.991947	0.0080525
Cell_334	4.02061e-40	0.992448	0.00755204
Cell_335	7.9396e-59	0.992447	0.00755282
Cell_336	6.01782e-51	0.992444	0.00755599
Cell_337	2.28084e-51	0.138891	0.861109
Cell_338	6.88563e-57	0.992404	0.00759623
Cell_339	1.22609e-24	0.498283	0.501717
Cell_340	1.70863e-89	0.992446	0.00755353
Cell_341	1.20179e-15	0.992256	0.00774369
Cell_342	2.73394e-28	5.14071e-07	0.999999
Cell_343	0.996432	0.00354028	2.77956e-05
Cell_344	1.57438e-61	2.87845e-07	1
Cell_345	4.37199e-42	0.992442	0.00755762
Cell_346	0.999345	0.000650121	4.94502e-06
Cell_347	3.90567e-17	0.991163	0.00883749
Cell_348	1.64845e-49	0.992451	0.00754851
Cell_349	0.000296345	0.992157	0.00754629
Cell_350	2.22138e-18	0.992444	0.00755599
Cell_351	3.43741e-36	1.31249e-13	1
Cell_352	3.96854e-50	0.991387	0.00861335
Cell_353	2.41829e-43	0.991163	0.00883749
Cell_354	0.999284	0.000710507	5.41295e-06
Cell_355	5.41824e-34	0.992451	0.00754881
Cell_356	0.997597	0.0023844	1.81948e-05
Cell_357	7.63216e-22	0.992292	0.00770824
Cell_358	1.28986e-34	7.3831e-09	1
Cell_359	9.8755e-62	0.992451	0.007549
Cell_360	2.28929e-22	0.992442	0.00755793
Cell_361	1.9165e-35	0.992397	0.00760327
Cell_362	5.03169e-91	0.992446	0.00755384
Cell_363	3.92748e-65	0.992445	0.00755494
Cell_364	4.44199e-35	0.992449	0.00755103
Cell_365	6.67161e-37	0.992444	0.00755588
Cell_366	0.99896	0.00103257	7.8557e-06
Cell_367	6.16694e-79	0.992444	0.00755622
Cell_368	6.49968e-25	0.992451	0.00754893
Cell_369	0.998167	0.00181921	1.39914e-05
Cell_370	0.000200479	0.992252	0.00754755
Cell_371	1.80131e-24	0.992439	0.00756134
Cell_372	9.12336e-20	0.992426	0.00757437
Cell_373	7.70382e-53	0.992451	0.00754915
Cell_374	1.07482e-23	0.816384	0.183616
Cell_375	2.21758e-43	0.0141789	0.985821
Cell_376	7.16193e-25	0.992452	0.00754843
Cell_377	3.55142e-45	1.96609e-06	0.999998
Cell_378	4.20453e-57	0.992444	0.00755628
Cell_379	3.16523e-30	0.992438	0.00756155
Cell_380	2.41394e-31	0.992451	0.0075486
Cell_381	3.38788e-56	0.992451	0.00754852
Cell_382	3.67297e-12	0.99245	0.00754979
Cell_383	3.50584e-44	0.948096	0.051904
Cell_384	5.07291e-54	0.794812	0.205188
Cell_385	5.60105e-60	1.41282e-07	1
Cell_386	2.252e-35	0.992444	0.00755599
Cell_387	2.81985e-27	0.992451	0.00754933
Cell_388	7.77468e-37	0.992451	0.00754867
Cell_389	1.71648e-16	0.992365	0.0076345
Cell_390	4.6858e-22	0.992319	0.00768072
Cell_391	1.03898e-42	0.992446	0.00755353
Cell_392	5.30241e-26	2.20685e-05	0.999978
Cell_393	5.09792e-91	0.992433	0.00756721
Cell_394	1.81083e-37	0.992451	0.0075485
Cell_395	3.48387e-20	0.992443	0.00755659
Cell_396	8.07478e-38	0.99245	0.00755039
Cell_397	6.40678e-32	0.992442	0.007558
Cell_398	0.998319	0.00166804	1.29452e-05
Cell_399	1.01141e-30	0.992064	0.00793582
Cell_400	1.23914e-37	0.992452	0.0075484
Cell_401	1.1066e-66	0.992451	0.00754865
