cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_1886	7.38746e-18	7.81855e-05	0.0139066	0.000286581	0.000927288	0.0144937	0.000272404	0.00130107	0.525776	0.00962071	0.433338
Cell_1887	4.17668e-14	0.00969864	1.17899e-08	2.41147e-10	1.21566e-09	1.69938e-08	0.990301	5.64935e-09	1.47362e-09	1.15484e-08	1.04739e-15
Cell_1888	7.11542e-22	0.948834	0.0039881	8.86811e-05	0.000191659	0.00206848	0.000127227	0.00392209	2.77396e-06	0.0354212	0.0053558
Cell_1889	4.42185e-13	0.0211306	0.00133839	2.91456e-05	7.69556e-05	0.000314252	0.957411	0.000965328	1.51913e-14	0.00121362	0.0175206
Cell_1890	2.59758e-19	5.2372e-05	0.000382574	2.43373e-05	0.000165063	0.000425111	1.7585e-08	0.00298395	0.994384	0.00158255	1.45367e-10
Cell_1891	3.60589e-16	3.68107e-05	0.000377776	7.78499e-06	3.23775e-05	0.00100882	0.000128251	0.00185065	0.545545	0.0013801	0.449632
Cell_1892	2.19298e-37	3.69297e-06	5.1283e-05	1.05837e-06	4.39524e-06	0.000239766	1.7608e-11	0.000172937	2.25245e-12	0.0010386	0.998488
Cell_1893	4.94057e-15	0.00890756	0.327704	0.0122907	0.0862256	0.208802	2.73028e-08	0.01715	0.000149351	0.338771	5.56984e-07
Cell_1894	1.61316e-33	1.42631e-05	0.000821157	1.70063e-05	3.6535e-05	0.0010041	1.16975e-08	5.15009e-05	0.989627	0.00842875	1.07649e-17
Cell_1895	1.27508e-12	0.0245767	6.18759e-08	1.27698e-09	4.12586e-09	1.10621e-07	0.975405	2.92012e-11	1.73941e-05	7.56567e-07	1.17382e-19
Cell_1896	2.58459e-25	3.82085e-07	4.43962e-05	9.07533e-07	7.90535e-06	0.000103217	1.74971e-14	1.5018e-05	0.999803	2.498e-05	1.75537e-21
Cell_1897	6.48711e-42	5.75406e-06	0.000566679	2.186e-05	7.42253e-05	0.000362168	3.10597e-08	9.17709e-05	2.02746e-11	0.000265166	0.998612
Cell_1898	4.83606e-26	5.84727e-06	0.00199497	4.10573e-05	0.000355232	0.00575978	3.99297e-05	0.000475474	0.0239274	0.00108897	0.966311
Cell_1899	0.0019313	0.0693854	1.82113e-15	3.7227e-17	9.57933e-17	2.78137e-16	0.928683	3.00232e-15	2.82789e-16	1.72448e-14	2.33071e-16
Cell_1900	4.17971e-19	1.01435e-07	6.47099e-06	0.999833	6.67225e-07	1.77207e-06	6.22033e-17	2.41398e-05	5.36606e-15	7.43231e-06	0.000126303
Cell_1901	2.06263e-21	0.000827562	0.0394705	0.00137944	0.0333782	0.00654312	0.0251314	0.186652	2.90563e-08	0.0881122	0.618506
Cell_1902	2.54362e-13	0.0271824	3.52867e-08	7.32323e-10	2.3529e-09	1.06656e-09	0.972817	1.72795e-08	1.43552e-07	3.17634e-07	2.26744e-18
Cell_1903	5.04361e-35	2.28118e-06	0.000384285	9.56518e-06	2.56239e-05	0.000449394	1.91433e-10	0.00118491	0.997702	0.000242047	2.01722e-16
Cell_1904	1.14038e-15	0.0034603	9.17542e-08	1.9981e-09	7.86386e-09	2.33463e-08	0.996539	2.71445e-07	1.57007e-27	3.04354e-07	4.18913e-11
Cell_1905	2.92674e-51	7.23458e-07	0.000173432	3.72491e-06	8.22876e-06	0.000848609	1.59453e-18	4.24178e-06	0.9989	6.13081e-05	2.48995e-20
Cell_1906	2.67604e-24	0.00336529	0.0570727	0.00117196	0.0482635	0.00264061	3.2368e-14	0.763716	3.98634e-06	0.123766	6.11176e-12
Cell_1907	5.3303e-30	0.00289295	0.0370717	0.000800322	0.0596201	0.116533	4.93483e-14	0.151147	1.83269e-08	0.631935	3.93361e-15
Cell_1908	8.10123e-35	0.000274791	0.134264	0.00273106	0.11354	0.0058747	2.00633e-19	0.675018	0.00697523	0.0613218	3.35001e-25
Cell_1909	5.37356e-20	5.78369e-06	8.90002e-05	2.15592e-06	6.61759e-06	0.000287339	3.66322e-08	0.000249532	2.25405e-12	0.00016055	0.999199
Cell_1910	2.87311e-29	1.11852e-05	0.000411102	0.00139647	0.000108169	0.00321618	3.89699e-05	0.000238027	0.545055	0.000297321	0.449228
Cell_1911	1.78824e-24	5.41026e-05	0.00114776	2.34277e-05	7.03904e-05	0.00119245	0.000188497	0.0035459	0.543179	0.0029168	0.447682
Cell_1912	1.59089e-32	0.000597328	0.359507	0.00734142	0.0470893	0.129961	1.47286e-16	0.201436	0.00013027	0.253938	8.08843e-19
Cell_1913	1.37735e-32	2.82102e-05	0.00429884	8.74723e-05	0.000297663	0.0033872	0.000765229	6.94034e-05	0.986243	0.00482324	3.14726e-08
Cell_1914	4.90691e-26	4.03882e-06	0.00140602	2.94419e-05	0.000184165	0.00242081	0.000109557	4.24137e-05	0.99507	0.000733168	3.17544e-08
