cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_3388	0.000437999	0.000761422	0.0156724	0.983053	7.54672e-05
Cell_3389	0.847863	0.0433951	0.0585692	0.0498924	0.000279905
Cell_3390	0.000112832	0.293846	0.0107937	0.695191	5.57165e-05
Cell_3391	1.15786e-07	0.0900537	0.0162933	0.893574	7.84574e-05
Cell_3392	2.92518e-15	0.000214909	0.022188	0.977474	0.000122766
Cell_3393	0.947246	0.0152469	0.00142909	0.0360717	6.6855e-06
Cell_3394	5.96274e-05	0.0304638	0.0369356	0.932297	0.000243563
Cell_3395	0.544345	0.133356	0.00650561	0.315499	0.000293695
Cell_3396	5.33989e-15	5.56527e-10	0.995271	2.45161e-10	0.00472911
Cell_3397	0.00948096	0.355301	0.0140975	0.621053	6.78837e-05
Cell_3398	5.05655e-07	0.293963	0.0105216	0.695466	4.88634e-05
Cell_3399	0.172618	0.242912	0.00972923	0.57469	5.08425e-05
Cell_3400	1.23443e-19	1.76919e-06	0.995353	4.1856e-06	0.00464059
Cell_3401	0.206148	0.706341	0.0013191	0.0861854	6.17576e-06
Cell_3402	2.81263e-07	0.048335	0.014345	0.937253	6.67444e-05
Cell_3403	8.08835e-22	2.1739e-11	0.995366	5.14309e-11	0.00463389
Cell_3404	0.000267425	0.29169	0.0178647	0.690089	8.88595e-05
Cell_3405	7.55313e-15	0.957759	0.000673192	0.0415647	3.11904e-06
Cell_3406	1.69346e-05	0.862371	0.00206112	0.135541	9.77345e-06
Cell_3407	0.0226312	0.0102981	0.0144727	0.952531	6.73987e-05
Cell_3408	0.0556048	0.310233	0.0331686	0.600837	0.000155919
Cell_3409	9.56643e-07	0.0145168	0.142306	0.842517	0.000659487
Cell_3410	9.50066e-10	0.00147452	0.0167079	0.981734	8.31056e-05
Cell_3411	9.03492e-08	0.0189288	0.0217722	0.959156	0.000142567
Cell_3412	0.244715	0.304975	0.0135351	0.436712	6.32341e-05
Cell_3413	1.65747e-07	0.292416	0.0157035	0.691807	7.40249e-05
Cell_3414	0.000161764	0.293712	0.0112004	0.694874	5.22682e-05
