cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9
Cell_1888	0.0001629	0.0075909	1.99709e-05	0.00529074	0.000449784	0.91108	0.00356368	1.08393e-06	0.049051	0.0227898
Cell_1889	0.949039	0.00163891	0.00943918	0.0181621	7.3798e-05	0.0161013	0.000771791	2.18813e-15	0.000956275	0.00381818
Cell_1890	1.16928e-08	0.000305923	6.59002e-05	8.86961e-11	5.44635e-05	2.49512e-05	0.00194202	0.995756	0.000886113	0.000964611
Cell_1891	0.000219765	0.000942067	2.69422e-05	0.720467	0.000156124	4.59578e-05	0.0028925	0.26432	0.00239317	0.00853585
Cell_1892	2.10882e-11	7.54261e-05	5.76728e-13	0.998171	7.83808e-06	2.97392e-06	0.000145003	6.18816e-13	0.00116986	0.000427907
Cell_1893	2.68284e-08	0.567905	1.36577e-05	7.5778e-07	0.000665311	0.00650809	0.0239594	2.23518e-06	0.380959	0.0199862
Cell_1894	1.9143e-09	0.000160123	1.07889e-05	1.73093e-18	7.83949e-07	1.50576e-06	5.93194e-06	0.99857	0.00120852	4.26489e-05
Cell_1895	0.878467	6.67865e-08	0.107696	8.65928e-20	1.8392e-12	0.0138046	2.47645e-11	3.11502e-05	6.01994e-07	1.00408e-10
Cell_1896	5.01767e-15	1.94638e-05	5.03622e-07	5.51936e-22	1.13954e-07	7.30245e-08	4.94018e-06	0.999962	6.83035e-06	6.2808e-06
Cell_1897	3.87429e-08	0.00106625	6.56766e-10	0.998235	8.27568e-06	5.17844e-06	0.000134956	3.20906e-12	0.000308642	0.00024171
Cell_1898	3.8451e-05	0.00330435	2.40507e-06	0.969093	1.29194e-05	4.10254e-06	0.000556314	0.0251555	0.00112592	0.000707281
Cell_1899	0.895267	2.35917e-15	0.0559979	1.46579e-16	2.09297e-16	0.048735	2.05793e-15	3.02013e-17	1.64458e-14	1.15358e-14
Cell_1900	8.34262e-18	1.30193e-06	1.02277e-18	7.8775e-06	0.999979	9.45206e-09	3.08613e-06	6.39537e-17	9.73965e-07	7.29183e-06
Cell_1901	0.0280307	0.0532009	0.000407505	0.575956	0.00162721	0.000695118	0.207001	8.68764e-09	0.0806226	0.0524586
Cell_1902	0.876907	3.71768e-08	0.107505	2.35421e-18	8.31432e-10	0.0155881	1.11327e-08	7.90744e-08	2.47847e-07	4.51376e-08
Cell_1903	5.15953e-11	0.000147319	2.50994e-06	5.07185e-17	2.28456e-05	4.08588e-07	0.00025505	0.998479	5.82635e-05	0.0010341
Cell_1904	0.988738	1.15373e-07	0.00874668	4.07786e-11	1.22826e-08	0.00251371	2.15342e-07	6.82428e-29	2.64532e-07	6.35481e-07
Cell_1905	9.20701e-19	0.000154964	1.05943e-06	1.23445e-20	2.751e-07	3.04468e-07	2.21391e-06	0.999794	3.31647e-05	1.44313e-05
Cell_1906	3.08248e-14	0.0569072	1.09312e-06	4.30936e-12	0.00314595	0.00237984	0.681126	1.42016e-07	0.0838274	0.172612
Cell_1907	5.84901e-14	0.0571699	1.51681e-06	2.87615e-15	0.000455991	0.00254909	0.183697	8.62068e-09	0.732328	0.0237978
Cell_1908	1.48648e-19	0.155447	9.32817e-06	3.21673e-25	0.00290597	0.00016197	0.635154	0.00154534	0.0438147	0.160962
Cell_1909	3.03636e-08	0.000107221	4.41421e-10	0.998924	1.37799e-05	3.4805e-06	0.000181922	1.20806e-13	0.000128752	0.000640923
Cell_1910	8.09064e-05	0.00121779	9.91878e-06	0.943254	0.00156182	1.69194e-05	0.000621007	0.0521618	0.000558271	0.000518026
Cell_1911	0.000115342	0.000798411	1.41404e-05	0.271908	0.000138151	2.41206e-05	0.00168299	0.716312	0.00138122	0.00762571
