cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_1110	1.25656e-16	1.28086e-19	1	3.18487e-18	1.26977e-17
Cell_1111	1.60026e-23	1.22623e-26	1	2.63152e-25	7.75125e-26
Cell_1112	2.09134e-09	1	2.43005e-09	3.3091e-11	2.11333e-10
Cell_1113	1.30888e-11	1	4.03493e-38	2.05599e-13	1.32264e-12
Cell_1114	5.49394e-08	1	6.38375e-08	9.09048e-10	2.99314e-10
Cell_1115	1.0825e-19	4.88597e-21	1	1.71461e-21	5.89752e-22
Cell_1116	0.448816	0.0138366	0.521507	0.0138224	0.0020178
Cell_1117	1.02158e-09	1	1.49308e-28	1.71034e-11	1.03232e-10
Cell_1118	0.97834	0.00083391	6.19386e-21	0.0170194	0.00380696
Cell_1119	0.382975	0.608879	0.000199098	0.00601576	0.00193097
Cell_1120	0.429732	0.0187511	0.499331	0.00876095	0.043425
Cell_1121	2.19196e-09	1	6.82579e-34	3.44725e-11	2.21501e-10
Cell_1122	0.258311	0.410679	0.300147	0.00476067	0.0261026
Cell_1123	0.894454	0.000540625	2.55645e-32	0.0146199	0.0903857
Cell_1124	3.56743e-07	1	2.91441e-15	5.83098e-09	3.60493e-08
Cell_1125	8.56352e-14	1	1.54629e-41	1.34619e-15	8.65356e-15
Cell_1126	0.258276	0.410625	0.300107	0.00489232	0.0260992
Cell_1127	0.451949	0.0136099	0.525147	0.00710464	0.00218913
Cell_1128	0.977715	0.000664505	6.20375e-26	0.0162939	0.00532666
Cell_1129	1.13246e-16	1	1.83348e-40	1.78273e-18	1.14437e-17
Cell_1130	0.337716	0.0107711	0.392413	0.224973	0.0341267
Cell_1131	4.69958e-26	3.19246e-29	1	7.5685e-28	4.74899e-27
Cell_1132	0.894342	0.000576637	6.52827e-28	0.0147069	0.0903745
Cell_1133	0.565573	0.000514537	2.83084e-20	0.376761	0.0571519
Cell_1134	5.45353e-05	4.64844e-08	9.59062e-25	0.999945	2.33582e-07
Cell_1135	6.15006e-13	2.17925e-14	1	1.08708e-14	6.21472e-14
Cell_1136	0.598337	0.000512041	1.3956e-21	0.398588	0.00256276
Cell_1137	0.433049	0.0131373	0.503186	0.00686715	0.0437602
Cell_1138	0.565422	0.000779983	3.92045e-16	0.376661	0.0571367
Cell_1139	1.25656e-16	4.72309e-18	1	2.05527e-18	6.84584e-19
Cell_1140	0.337059	0.0126968	0.391649	0.224535	0.0340603
Cell_1141	0.894147	0.000597451	5.6735e-26	0.0149012	0.0903547
Cell_1142	8.47817e-06	3.48896e-07	9.8513e-06	0.99998	8.5673e-07
Cell_1143	6.54935e-13	1	2.03947e-37	1.031e-14	3.34155e-15
Cell_1144	6.15006e-13	1.85e-14	1	9.74132e-15	6.21472e-14
Cell_1145	0.00034624	1.08207e-05	0.000402317	0.999239	1.55663e-06
Cell_1146	0.258454	0.410907	0.300314	0.00420765	0.0261171
Cell_1147	1.77809e-11	1	2.06607e-11	2.79515e-13	9.68715e-14
Cell_1148	2.35323e-06	7.4475e-08	1.24798e-28	0.999998	1.13985e-08
Cell_1149	1.64933e-11	5.08475e-13	1	2.74866e-13	7.6651e-14
Cell_1150	1.25656e-16	3.78852e-18	1	2.3802e-18	1.26977e-17
Cell_1151	2.50246e-22	2.13956e-25	1	6.13245e-24	2.52877e-23
Cell_1152	0.450449	0.0159615	0.523404	0.00773133	0.00245408
Cell_1153	0.597975	0.000420326	4.36493e-28	0.398347	0.00325781
Cell_1154	0.565649	0.00038002	3.05778e-31	0.376812	0.0571595
Cell_1155	0.382987	0.608898	4.0378e-34	0.00625995	0.00185509
Cell_1156	0.00424068	0.000154508	0.00492751	0.990249	0.000428527
Cell_1157	3.80976e-23	1	1.17444e-49	6.17704e-25	1.56076e-25
Cell_1158	0.258408	0.410834	0.30026	0.00438489	0.0261125
Cell_1159	0.336884	0.013209	0.391446	0.224418	0.0340426
Cell_1160	0.258478	0.410945	0.300341	0.00411638	0.0261195
Cell_1161	1.00249e-18	9.39793e-22	1	1.64852e-20	1.01303e-19
Cell_1162	0.43233	0.013442	0.502351	0.00818928	0.0436876
Cell_1163	0.432264	0.0146721	0.502274	0.0071083	0.0436809
Cell_1164	1.72756e-21	6.29431e-23	1	3.11915e-23	1.74572e-22
Cell_1165	1.44519e-15	1	7.23354e-35	2.42858e-17	1.46038e-16
Cell_1166	0.34918	0.0105741	0.405734	0.23261	0.00190236
Cell_1167	0.000733842	0.998327	0.000852696	1.26011e-05	7.41557e-05
Cell_1168	1.31067e-13	2.08379e-13	1	2.22405e-15	7.14061e-16
Cell_1169	0.451231	0.0136889	0.524312	0.00883556	0.00193268
Cell_1170	2.80606e-14	1	6.54504e-35	4.64301e-16	2.83556e-15
Cell_1171	0.432555	0.0135977	0.502612	0.00752481	0.0437103
Cell_1172	0.565482	0.00067422	8.26474e-20	0.376701	0.0571427
