cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_176	2.38987e-06	2.33367e-06	4.06099e-07	0.99869	0.00124311	6.15749e-05
Cell_177	1.25146e-05	4.24647e-07	4.22496e-05	0.965054	0.0345686	0.000322437
Cell_178	0.0185236	0.000628552	0.00314839	0.483134	0.017306	0.47726
Cell_179	3.25219e-07	1.10353e-08	1.09795e-06	0.998747	0.00124317	8.37925e-06
Cell_180	0.0174852	0.000593313	0.0590305	0.45605	0.0163359	0.450505
Cell_181	5.64803e-05	4.89696e-08	4.872e-06	0.998658	0.00124307	3.71818e-05
Cell_182	9.08231e-05	0.0013117	0.000286696	0.00236885	2.9486e-06	0.995939
Cell_183	0.0188962	0.000641243	0.000138314	0.492852	0.000613487	0.486859
Cell_184	0.0185181	0.0180826	0.00269219	0.482989	0.00060119	0.477117
Cell_185	4.78474e-07	0.00116306	0.115717	4.62508e-07	5.757e-10	0.883119
Cell_186	1.02757e-07	0.00116311	0.115717	6.08248e-08	7.57113e-11	0.88312
Cell_187	0.0188469	0.000645614	0.00274014	0.491566	0.000611892	0.485589
Cell_188	0.0188961	0.000642168	0.000141325	0.49285	0.000613648	0.486857
Cell_189	5.74147e-05	0.00131658	0.000285287	0.0014975	1.86406e-06	0.996841
Cell_190	1.1617e-07	0.00131492	0.00028421	3.02997e-06	3.77166e-09	0.998398
Cell_191	1.07365e-09	6.46031e-13	1.39307e-13	0.998757	0.0012432	4.90489e-10
Cell_192	0.0188962	0.000641194	0.000138271	0.492852	0.000613466	0.486859
Cell_193	5.71031e-06	3.28867e-09	3.27204e-07	0.96541	0.0345814	2.49713e-06
Cell_194	0.0174852	0.000593308	0.0590305	0.45605	0.0163359	0.450505
Cell_195	1.90896e-07	0.00116307	0.115717	9.02224e-08	1.12304e-10	0.88312
Cell_196	7.77299e-07	1.65343e-08	2.46165e-09	0.998756	0.00124318	4.36264e-07
Cell_197	0.018847	0.000639534	0.00274003	0.491569	0.000611872	0.485592
Cell_198	0.0188962	0.000641198	0.000138413	0.492852	0.000613594	0.486859
Cell_199	0.0185181	0.0180826	0.00269215	0.482989	0.000601192	0.477117
Cell_200	0.0185796	0.00063053	0.000136343	0.484594	0.0173583	0.478702
Cell_201	3.66614e-06	0.00131475	0.00028354	9.56205e-05	1.19024e-07	0.998302
Cell_202	0.0185655	0.0181289	0.000135928	0.484227	0.000602743	0.47834
Cell_203	0.0177653	0.000603044	0.0599762	0.463356	0.000576766	0.457722
Cell_204	0.0185077	0.0180724	0.00321256	0.482718	0.000640141	0.476849
Cell_205	2.96777e-11	1	1.00193e-10	7.74056e-10	9.6351e-13	7.64645e-10
Cell_206	0.0361923	2.4385e-05	0.000122124	0.94397	0.001175	0.0185157
Cell_207	1.30647e-08	0.0013068	0.00671407	7.73335e-09	9.6266e-12	0.991979
Cell_208	0.0185158	0.0180803	0.00281379	0.48293	0.000602451	0.477058
Cell_209	0.0177653	0.000602822	0.0599762	0.463356	0.00057677	0.457722
Cell_210	0.018847	0.000639632	0.00274068	0.491569	0.000611952	0.485592
Cell_211	8.94213e-05	7.27716e-08	7.24028e-06	0.998605	0.001243	5.52559e-05
Cell_212	0.0177653	0.000602821	0.0599762	0.463356	0.000576778	0.457722
Cell_213	0.0188382	0.000639591	0.00320657	0.491339	0.000611702	0.485365
Cell_214	3.38341e-07	0.00116305	0.115717	1.54303e-07	1.92064e-10	0.88312
Cell_215	2.37129e-06	0.00116299	0.115709	6.18481e-05	7.69841e-08	0.883063
Cell_216	1.86748e-05	1.17418e-08	5.03079e-08	0.998729	0.00124315	8.91568e-06
