cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_793	0.540935	0.0158902	0.00302612	0.00640024	0.433749
Cell_794	0.880685	0.00788337	0.00150063	0.00159852	0.108332
Cell_795	2.64238e-06	2.3797e-08	0.999997	9.58493e-09	6.49577e-07
Cell_796	3.37744e-20	3.04413e-17	5.97043e-18	1.01469e-12	1
Cell_797	0.540846	0.0158876	0.00319028	0.00639919	0.433677
Cell_798	0.000172918	0.0269453	0.226515	0.010853	0.735514
Cell_799	0.983546	0.00883572	0.00193834	0.00178674	0.00389294
Cell_800	0.794627	0.00710843	0.00136549	0.00286313	0.194036
Cell_801	2.01272e-05	0.0346042	0.00686054	0.0139379	0.944577
Cell_802	0.00700807	6.30004e-05	0.992047	1.28213e-05	0.000868905
Cell_803	5.67286e-06	0.0269498	0.226553	0.0108548	0.735637
Cell_804	0.826071	0.00743221	0.0624787	0.00151253	0.102505
Cell_805	7.38956e-06	6.6094e-08	0.999992	2.66213e-08	7.27332e-08
Cell_806	7.55069e-05	0.0346066	0.00673616	0.0139388	0.944643
Cell_807	1.32843e-09	1.0955e-06	2.1072e-07	4.41244e-07	0.999998
Cell_808	3.412e-07	3.05204e-09	1	1.2293e-09	2.67838e-09
Cell_809	0.793756	0.00713562	0.00145616	0.00287408	0.194778
Cell_810	1.27544e-06	1.14124e-08	0.999999	4.59667e-09	8.42452e-09
Cell_811	0.79457	0.00710965	0.00138793	0.00286362	0.194069
Cell_812	3.91442e-11	2.19504e-06	4.17661e-07	4.41243e-07	0.999997
Cell_813	0.00147186	1.31673e-05	0.9985	5.30349e-06	9.2605e-06
Cell_814	9.94496e-05	8.90689e-07	0.999899	1.79739e-07	3.58049e-07
Cell_815	0.977248	0.00875104	0.00168853	0.00352473	0.00878734
Cell_816	0.979172	0.00876093	0.00173817	0.00352872	0.00680003
Cell_817	1.90891e-06	0.000133838	2.72064e-05	5.39072e-05	0.999783
Cell_818	0.749713	0.00674521	0.0567035	0.00271683	0.184121
