cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_667	1.56297e-16	1	1.5794e-17	2.45699e-18	1.60678e-19
Cell_668	4.68909e-21	1	2.10813e-23	7.46759e-23	4.01279e-24
Cell_669	0.451669	0.524822	0.00246073	0.00712308	0.0139246
Cell_670	0.450911	0.523941	0.0024566	0.00888139	0.0138092
Cell_671	0.893747	1.26468e-17	0.0903144	0.0148946	0.00104387
Cell_672	0.565543	9.94567e-21	0.0571488	0.376741	0.000567274
Cell_673	0.431853	0.501796	0.0436393	0.00697684	0.0157344
Cell_674	1.40033e-05	1.62713e-05	5.67912e-08	2.20563e-07	0.999969
Cell_675	7.04661e-15	1	7.12069e-16	1.15943e-16	1.12032e-14
Cell_676	3.73778e-11	1.26288e-32	3.77708e-12	6.09164e-13	1
Cell_677	0.000696189	9.49664e-30	2.98187e-06	0.9993	4.66669e-07
Cell_678	0.598353	1.39564e-21	0.00256282	0.398598	0.000486183
Cell_679	2.34338e-12	1.48359e-32	1.13507e-14	4.58857e-14	1
Cell_680	0.565591	2.99949e-23	0.0571538	0.376774	0.00048131
Cell_681	0.889065	3.82887e-18	0.0898412	0.0196959	0.0013981
Cell_682	0.451793	0.524966	0.00218837	0.00717353	0.0138795
Cell_683	0.565629	5.06722e-24	0.0571576	0.376799	0.000414787
Cell_684	2.37785e-09	5.13756e-32	9.86013e-12	3.74322e-11	1
Cell_685	0.978012	4.89521e-20	0.00473724	0.0158571	0.0013933
Cell_686	0.59838	2.02175e-22	0.00256294	0.398616	0.000441214
Cell_687	0.894408	1.21059e-18	0.0903812	0.0143284	0.000882059
Cell_688	4.77405e-27	1	4.82424e-28	8.60052e-29	3.28939e-30
Cell_689	0.00427206	0.00496397	0.000431697	0.990172	0.000160576
Cell_690	0.565654	5.15957e-29	0.0571601	0.376815	0.000370709
Cell_691	0.97688	1.58159e-24	0.00439188	0.0180039	0.000724162
Cell_692	0.451792	0.524965	0.00230509	0.00717352	0.0137637
Cell_693	1.76165e-15	1	1.78017e-16	4.00786e-17	2.80079e-15
Cell_694	0.432761	0.502851	0.0437311	0.00685467	0.0138025
Cell_695	1.29216e-05	6.85271e-28	5.24044e-08	2.05459e-07	0.999987
Cell_696	5.33323e-11	3.75859e-35	5.3893e-12	9.6079e-13	1
Cell_697	0.000108904	5.77548e-27	1.10049e-05	0.99988	8.07368e-08
Cell_698	2.15881e-06	1.3698e-31	2.1815e-07	0.999998	1.44069e-09
Cell_699	0.892309	1.44466e-24	0.090169	0.0169023	0.000619841
Cell_700	0.432853	0.502958	0.0437404	0.00679924	0.0136495
Cell_701	5.98091e-11	6.94958e-11	3.25844e-13	1.05718e-12	1
Cell_702	0.978276	5.18807e-23	0.00439815	0.0166002	0.000726043
Cell_703	3.37725e-10	3.92423e-10	3.41276e-11	5.58812e-12	1
Cell_704	0.979406	5.19406e-23	0.00384951	0.0160195	0.000724711
Cell_705	5.31603e-06	2.81924e-28	5.37192e-07	0.999994	3.91762e-09
Cell_706	0.265127	0.308067	0.00109939	0.00419109	0.421516
Cell_707	5.60361e-07	6.51118e-07	5.66253e-08	0.999999	1.67257e-08
Cell_708	1.00249e-18	1	1.01303e-19	2.28072e-20	1.0123e-21
Cell_709	7.91154e-05	9.1929e-05	7.99471e-06	0.999818	2.57256e-06
Cell_710	7.36715e-26	4.50029e-53	7.44461e-27	1.15684e-27	1
Cell_711	0.337483	0.392142	0.0341031	0.224817	0.011455
Cell_712	0.565451	9.94406e-21	0.0571396	0.37668	0.000728979
Cell_713	1.08297e-08	5.74329e-31	1.09436e-09	1	7.89494e-12
Cell_714	6.15006e-13	1	6.21472e-14	9.71357e-15	1.8736e-14
Cell_715	1.44286e-07	2.53743e-27	1.45803e-08	1	1.34818e-10
Cell_716	0.369363	1.61952e-19	0.0373247	0.00607394	0.587238
Cell_717	3.18432e-06	3.70005e-06	3.21779e-07	0.999993	9.6602e-08
Cell_718	3.70718e-20	1	2.0197e-22	6.36287e-22	3.51333e-23
Cell_719	1.76165e-15	1	1.78017e-16	2.76931e-17	5.70174e-17
Cell_720	0.432826	0.502927	0.0437376	0.00721317	0.0132968
Cell_721	4.52101e-15	6.60762e-34	4.56854e-16	7.13499e-17	1
Cell_722	0.265122	0.308061	0.00109937	0.00420958	0.421508
Cell_723	0.885732	1.25334e-17	0.0895044	0.0237871	0.000976769
Cell_724	0.598471	1.74936e-26	0.00245178	0.398677	0.000399886
Cell_725	0.888276	4.13385e-29	0.0897615	0.0214052	0.000557535
Cell_726	3.30453e-07	2.32887e-31	3.33928e-08	5.24691e-09	1
Cell_727	3.70718e-20	1	3.74616e-21	7.02222e-22	3.02362e-23
Cell_728	0.43239	0.50242	0.0436935	0.00726614	0.014231
Cell_729	2.43425e-06	2.20568e-37	1.04262e-08	3.85168e-08	0.999998
Cell_730	0.00010889	0.000126526	1.10035e-05	0.99975	3.25145e-06
Cell_731	3.03273e-07	3.52391e-07	3.06461e-08	5.36063e-09	0.999999
Cell_732	0.43253	0.502583	0.0437077	0.00779209	0.0133876
Cell_733	1.21698e-10	3.78968e-35	1.22977e-11	2.34107e-12	1
Cell_734	0.559063	0.0115839	0.0564941	0.372425	0.000434485
Cell_735	1.0655e-05	2.81628e-07	4.13573e-08	1.67497e-07	0.999989
Cell_736	3.56339e-17	1	3.60085e-18	8.73233e-19	3.68212e-20
Cell_737	0.428952	0.498425	0.0433462	0.0073657	0.0219112
Cell_738	0.977161	6.18639e-21	0.00473312	0.0172722	0.000833661
Cell_739	0.337935	0.392667	0.0341488	0.225119	0.01013
Cell_740	0.429355	0.498893	0.0433869	0.0115307	0.0168347
Cell_741	0.433034	0.503169	0.0437587	0.00687568	0.013163
Cell_742	0.349372	0.405957	0.00149641	0.232737	0.0104368
