cell	Node 0	Node 1
Cell_688	8.32352e-13	1
Cell_689	3.12463e-38	1
Cell_690	2.38057e-55	1
Cell_691	2.02729e-70	1
Cell_692	3.43347e-57	1
Cell_693	4.26255e-16	1
Cell_694	6.38692e-106	1
Cell_695	5.78066e-16	1
Cell_696	6.19639e-124	1
Cell_697	1.42331e-43	1
Cell_698	6.99251e-26	1
Cell_699	4.29006e-88	1
Cell_700	8.93378e-62	1
Cell_701	1.19716e-51	1
Cell_702	2.36641e-62	1
Cell_703	2.97545e-15	1
Cell_704	3.887e-106	1
Cell_705	5.9815e-87	1
Cell_706	2.57239e-74	1
Cell_707	6.90719e-74	1
Cell_708	3.95266e-61	1
Cell_709	8.26455e-64	1
Cell_710	5.72234e-20	1
Cell_711	2.06205e-107	1
Cell_712	8.62917e-61	1
Cell_713	3.00207e-71	1
Cell_714	1.31323e-88	1
Cell_715	4.80749e-32	1
Cell_716	2.12428e-51	1
Cell_717	3.67514e-27	1
Cell_718	8.02182e-66	1
Cell_719	2.67688e-63	1
Cell_720	7.68938e-71	1
Cell_721	0.0157015	0.984298
Cell_722	1.23836e-66	1
Cell_723	8.47657e-58	1
Cell_724	7.66678e-66	1
Cell_725	1.0062e-115	1
Cell_726	2.37109e-38	1
Cell_727	0.0187011	0.981299
Cell_728	7.39404e-55	1
Cell_729	1.93102e-102	1
Cell_730	4.65408e-60	1
Cell_731	2.67723e-57	1
Cell_732	6.7762e-79	1
Cell_733	4.50923e-50	1
Cell_734	6.46704e-29	1
Cell_735	4.74376e-48	1
Cell_736	9.16099e-79	1
Cell_737	2.18895e-64	1
Cell_738	3.43319e-30	1
Cell_739	4.36703e-53	1
Cell_740	2.074e-72	1
Cell_741	1.95381e-132	1
Cell_742	9.37561e-50	1
Cell_743	2.23388e-53	1
Cell_744	3.98289e-48	1
Cell_745	4.67773e-86	1
Cell_746	3.84792e-50	1
Cell_747	7.75102e-34	1
Cell_748	1.62105e-21	1
Cell_749	2.08749e-112	1
Cell_750	6.94783e-73	1
Cell_751	7.14148e-15	1
Cell_752	2.16576e-86	1
Cell_753	1.0772e-37	1
Cell_754	9.66848e-74	1
Cell_755	6.69955e-53	1
Cell_756	7.05241e-23	1
Cell_757	3.09618e-108	1
Cell_758	4.70875e-10	1
Cell_759	3.47541e-98	1
Cell_760	7.92078e-48	1
Cell_761	1.30532e-79	1
Cell_762	3.15277e-101	1
Cell_763	2.37998e-43	1
Cell_764	3.72532e-06	0.999996
Cell_765	2.10937e-81	1
Cell_766	0.0425637	0.957436
Cell_767	3.22214e-88	1
Cell_768	5.99057e-52	1
Cell_769	1.74843e-08	1
Cell_770	3.12446e-72	1
Cell_771	3.79522e-104	1
Cell_772	4.63492e-76	1
Cell_773	2.47844e-10	1
Cell_774	2.07023e-40	1
Cell_775	8.47628e-42	1
Cell_776	1.49549e-65	1
Cell_777	9.42619e-54	1
Cell_778	6.61878e-90	1
Cell_779	8.6196e-72	1
Cell_780	1.35732e-32	1
Cell_781	4.53432e-33	1
Cell_782	6.54444e-80	1
Cell_783	1.19903e-37	1
Cell_784	1.78161e-68	1
Cell_785	1.1304e-62	1
Cell_786	4.94488e-55	1
Cell_787	1.07776e-62	1
Cell_788	9.50601e-28	1
Cell_789	2.43402e-40	1
Cell_790	1.03491e-77	1
Cell_791	1.38227e-72	1
Cell_792	2.2063e-57	1
Cell_793	5.5054e-57	1
Cell_794	1.86747e-77	1
Cell_795	6.1266e-79	1
Cell_796	3.5397e-28	1
Cell_797	9.05726e-59	1
Cell_798	5.52426e-83	1
Cell_799	2.17906e-42	1
Cell_800	1.5944e-06	0.999998
Cell_801	6.74555e-42	1
Cell_802	8.00781e-16	1
Cell_803	5.61688e-62	1
Cell_804	8.01057e-101	1
Cell_805	6.79329e-42	1
Cell_806	3.02709e-85	1
Cell_807	5.98172e-72	1
Cell_808	5.93337e-49	1
Cell_809	5.26642e-71	1
Cell_810	1.79769e-63	1
Cell_811	9.58539e-75	1
Cell_812	3.92684e-10	1
Cell_813	1.63392e-41	1
Cell_814	2.00833e-09	1
Cell_815	0.631471	0.368529
Cell_816	3.95944e-48	1
Cell_817	1.21367e-19	1
Cell_818	1.03408e-79	1
Cell_819	4.83252e-40	1
Cell_820	2.21793e-59	1
Cell_821	9.66511e-78	1
Cell_822	6.97296e-67	1
Cell_823	1.53463e-58	1
Cell_824	6.51199e-31	1
Cell_825	1.29935e-38	1
Cell_826	1.72168e-88	1
Cell_827	2.46713e-72	1
Cell_828	6.07283e-11	1
Cell_829	6.37725e-58	1
Cell_830	1.93943e-101	1
Cell_831	4.01799e-50	1
Cell_832	7.96731e-51	1
Cell_833	1.40092e-65	1
Cell_834	1.72572e-40	1
Cell_835	8.85831e-67	1
Cell_836	3.99081e-93	1
Cell_837	3.51622e-38	1
Cell_838	2.86448e-101	1
Cell_839	7.34516e-26	1
Cell_840	1.73484e-64	1
Cell_841	2.84956e-32	1
Cell_842	5.33131e-82	1
Cell_843	8.24075e-56	1
Cell_844	3.51065e-69	1
Cell_845	9.62314e-48	1
Cell_846	7.13399e-62	1
Cell_847	4.00998e-97	1
Cell_848	6.42883e-64	1
Cell_849	2.37055e-36	1
Cell_850	5.72583e-104	1
Cell_851	2.48352e-73	1
Cell_852	7.53206e-37	1
Cell_853	3.05459e-63	1
Cell_854	7.6576e-54	1
Cell_855	8.52825e-39	1
Cell_856	9.66094e-46	1
Cell_857	4.93803e-69	1
Cell_858	5.14797e-73	1
Cell_859	1.13212e-71	1
Cell_860	2.15654e-51	1
Cell_861	4.95906e-38	1
Cell_862	9.09749e-06	0.999991
Cell_863	2.04078e-37	1
Cell_864	1.10444e-52	1
Cell_865	1.63423e-85	1
Cell_866	6.17629e-89	1
Cell_867	1.92322e-76	1
Cell_868	2.98565e-10	1
